Restaurant,Address,Coordinates,Cusines
Shinzo Japanese Cuisine,17 Carpenter Street #01-01Singapore (059906),"1.2882498, 103.8477434",Japanese
Shisen Hanten by Chen Kentaro,"333 Orchard Road Level 35,Mandarin Orchard Hotel Singapore Singapore (238867)","1.3020052, 103.8359339","Chinese, Japanese, Vegetarian Friendly, Local, Dim Sum"
Shish Mahal Restaurant,180 Albert Street#01-20Albert Court Singapore (189971),"1.3041158, 103.850792","Indian, Vegetarian Friendly, Vegetarian"
Sho Yakitori & Sushi,9 Raffles Boulevard#01-16 to 19Millenia Walk Singapore (039596),"1.2920715, 103.859851","Japanese, BBQ"
Shoukouwa Sushi Restaurant,1 Fullerton Road#02-02A One Fullerton Singapore (049213),"1.2857128, 103.8538902",Japanese
Shu Yan SiChuan Cuisine 蜀宴,207 River Valley Road#01-51/54UE Square (Along Mohamed Sultan Road)Singapore (238275),"1.2934079, 103.8418283","Chinese, Fusion"
Shukuu Izakaya,8 Stanley Street Singapore (068727),"1.2800726, 103.8478498",Japanese
Shun by Shunsui,5 Koek Road#04-04Cuppage Plaza Singapore (228796),"1.3021535, 103.8406837",Japanese
Shunjuu Izakaya,30 Robertson Quay#01-15Riverside View Singapore (238251),"1.2911119, 103.8410136",Japanese
Shutters,1 Larkhill Road Amara Sanctuary Resort Singapore (099394),"1.2520799, 103.822159","Fusion, Vegetarian Friendly, Local, Cafe"
Si Chuan Dou Hua (Beach Road),7500 Beach Road Singapore (199591),"1.2998042, 103.8606655","Buffet, Chinese, Vegetarian Friendly"
Si Chuan Dou Hua (Kitchener Road),181 Kitchener Road Singapore (208533),"1.3106349, 103.8557348","Buffet, Chinese, Vegetarian Friendly"
Si Chuan Dou Hua (UOB Plaza),80 Raffles Place#60-01UOB Plaza 1Singapore 048624,"1.2852812, 103.8503625","Buffet, Chinese, Vegetarian Friendly"
Si Wei Mao Cai,33 Mosque Street Singapore (059511),"1.2836131, 103.8452756",Chinese
Si Wei Xiao Hot Pot,31 Mosque Street Singapore (059509),"1.2835687, 103.8453418","Chinese, Steamboat"
Siam Kitchen (Khatib),2 Yishun Close#01-01Hometeamns Clubhouse Singapore (767944),"1.4346771, 103.8450034","Thai, Halal Certified"
Siam Kitchen (Lot 1),21 Choa Chu Kang Avenue 4#02-25Lot 1Singapore (689812),"1.3851169, 103.7449142","Thai, Halal Certified"
Siam Kitchen (Safra Toa Payoh),293 Lor 6 Toa Payoh#01-04SAFRA Toa Payoh Singapore (319387),"1.3302932, 103.8546699",Thai
Siam Square Mookata (Ang Mo Kio),Block 332 Ang Mo Kio Avenue 1#01-1879Singapore (560332),"1.3616045, 103.8519244",Thai
Siam Square Mookata (Boon Lay),221 Boon Lay Place Boon Lay Shopping Centre Singapore (640221),"1.3463986, 103.7125352","Buffet, Thai"
Siam Square Mookata (Bukit Batok),155 Bukit Batok Street 11Singapore (650155),"1.3480297, 103.7435371","Buffet, Thai"
Siam Square Mookata (Clementi),325 Clementi Avenue 5#01-129Singapore (120325),"1.315245, 103.766757","Buffet, Thai"
Siam Square Mookata (Golden Mile Tower),"6001 Beach Road#B1-63, Golden Mile Tower Singapore (199589)","1.3019921, 103.8642024","Buffet, Thai"
Siam Square Mookata (Havelock Road),22A Havelock Road#01-14Singapore (161022),"1.2894664, 103.8277853","Buffet, Thai"
Siam Square Mookata (Jurong East),134 Jurong Gateway Road Singapore (600134),"1.3341343, 103.7389171","Buffet, Thai"
Siam Square Mookata (Woodlands),11 Woodlands Close#01-46Stall 3B Singapore (737853),"1.4355138, 103.8031921","Buffet, Thai"
Silk Road Restaurant (Amara Singapore),165 Tanjong Pagar Road Level 2Amara Hotel Singapore (088539),"1.274961, 103.843575","Chinese, Dim Sum"
Silver Shell Cafe,101 Siloso Road Dine On 3 at Level 3Shangri-La's Rasa Sentosa Resort & Spa Singapore (098970),"1.2577323, 103.8097962","Bar, Buffet, International, Seafood, Vegetarian Friendly, Local"
Sinfonia Ristorante,11 Empress Place#01-01Victoria Theatre and Concert Hall Singapore (179558),"1.2884682, 103.8517959","Italian, Seafood, Vegetarian Friendly"
Singapore Seafood Republic,26 Sentosa Gateway#02-138Festive Walk Resorts World Sentosa Singapore (098138),"1.2554223, 103.8195952","Chinese, Seafood, Local"
Sinpopo,"458 Joo Chiat Road,Singapore (427671)","1.306236, 103.9045548","Fusion, Local"
Siri House,8D Dempsey Road#01-02Dempsey Hill Singapore (249672),"1.3037237, 103.809206",Modern Asian
Six Senses Brasserie,2 Cook Street Six Senses Maxwell Singapore (078857),"1.2788244, 103.8444157",Modern European
Sixteen Ounces Craft Beer Bistro,398 Upper Bukit Timah Road Singapore (678049),"1.3580871, 103.7679212","American, Bar"
SKAI Bar,2 Stamford Road Level 70Swissotel The Stamford Singapore (178882),"1.2932771, 103.8535076",Bar
SKAI Restaurant,2 Stamford Road Level 70Swissotel The Stamford Singapore (178882),"1.2932771, 103.8535076","Bar, Modern European, Fusion, International, Seafood, Steakhouse, Vegetarian Friendly, Modern Asian, BBQ, Vegetarian"
SKIRT (W Singapore - Sentosa Cove),21 Ocean Way W Singapore – Sentosa Cove Singapore (098374),"1.2462857, 103.8423347","Modern European, Fusion, Seafood"
Sky Lounge,5 Coleman Street Peninsula Excelsior Hotel Singapore (179805),"1.2921301, 103.8499727","Bar, International"
Sky View Pavilion,30 Raffles Avenue#01-04Singapore Flyer Singapore (039803),"1.2892988, 103.8631368","Chinese, Dim Sum"
Sky22,99 Irrawaddy Road Courtyard by Marriott Singapore Novena Singapore (329568),"1.3205847, 103.843232","Buffet, International, Vegetarian Friendly"
Slake,15 Swan Lake Avenue Opera Estate Singapore (455711),"1.3212725, 103.9241325","Local, Zi Char, Modern Asian"
Slappy Cakes (Plaza Singapura),68 Orchard Road#03-02Plaza Singapura Singapore (238839),"1.3005317, 103.8452356","American, All-Day Breakfast"
Slappy Cakes (Resorts World Sentosa),26 Sentosa Gateway#01-29Singapore (098269),"1.2548714, 103.821414","American, All-Day Breakfast, Vegetarian Friendly, Cafe"
SLATE.,24 Purvis Street Singapore (188601),"1.296154, 103.855399","Bar, Cafe, Modern Asian"
Smoke & Mirrors,1 St. Andrew’s Road#06-01National Gallery Singapore Singapore (178957),"1.2904173, 103.8518107","Bar, Local"
Smokey's BBQ Joo Chiat,73 Joo Chiat Place Singapore (427790),"1.3136559, 103.9015783","American, Burgers"
SMÖÖbar (Holland Village),29A Lorong Mambong Singapore (277687),"1.3115496, 103.7944782","Bar, Local, Pizza"
SMÖÖbar (Prinsep),44A Prinsep Street Singapore (188674),"1.299575, 103.849636","Bar, Fusion, Local, Pizza"
So France,7 Fraser Street#01-51/56Duo Galleria Singapore (189356),"1.299163, 103.8581739",French
So Pho (Causeway Point),1 Woodlands Square#B1-16Causeway Point Singapore (738099),"1.4360933, 103.7859471","Vietnamese, Halal Certified"
So Pho (Clementi Mall),3155 Commonwealth Ave West#04-34 & 04-K3/K4Clementi Mall Singapore (129588),"1.314918, 103.7643089","Vietnamese, Halal Certified"
So Pho (Great World City),1 Kim Seng Promenade#B1-112Great World City Singapore (237994),"1.2936417, 103.8319293","Vietnamese, Halal Certified"
So Pho (IMM),2 Jurong East St 21#02-53IMM Singapore (609601),"1.3348154, 103.7468395","Vietnamese, Halal Certified"
So Pho (ION Orchard),2 Orchard Turn#B3-19 ION Orchard Singapore (238801),"1.3039288, 103.8319512","Vietnamese, Halal Certified"
So Pho (Jem),50 Jurong Gateway Road#03-22Jem Singapore (608549),"1.3336808, 103.7436547","Vietnamese, Halal Certified"
So Pho (Jewel Changi Airport),78 Airport Boulevard#B1-248Jewel Changi Airport Singapore (819666),"1.3602082, 103.9897593","Vietnamese, Halal Certified"
So Pho (Northpoint City),1 Northpoint Drive#B1-182/183Northpoint City Singapore (768019),"1.4281125, 103.8362591","Vietnamese, Halal Certified"
So Pho (Novena Square),238 Thomson Road#02-43/45Novena Square Singapore (307683),"1.3200433, 103.8440448","Vietnamese, Halal Certified"
So Pho (Paragon),290 Orchard Road#B1-20Paragon Singapore (238859),"1.3038699, 103.8357982","Vietnamese, Halal Certified"
So Pho (Parkway Parade),80 Marine Parade Road#03-30D Parkway Parade Singapore (449269),"1.3013366, 103.9052333","Vietnamese, Halal Certified"
So Pho (Suntec City),3 Temasek Boulevard#B1-126Suntec City Singapore (038983),"1.2946045, 103.8581046","Vietnamese, Halal Certified"
So Pho (Tampines Mall),4 Tampines Central 5#04-30Tampines Mall Singapore (529510),"1.3524936, 103.9447179","Vietnamese, Halal Certified"
So Pho (The Star Vista),1 Vista Exchange Green#B1-11The Star Vista Singapore (138617),"1.3068072, 103.7883997","Vietnamese, Halal Certified"
So Pho (VivoCity),1 Harbour Front Walk#01-171Vivo City Singapore (098585),"1.2644032, 103.8222071","Vietnamese, Halal Certified"
So Pho (Waterway Point),83 Punggol Central#01-28Waterway Point Singapore (828761),"1.40669, 103.9021738","Vietnamese, Halal Certified"
So Pho (White Sands),1 Pasir Ris Central Street 3#02-04 White Sands Singapore (518457),"1.3724166, 103.9496584","Vietnamese, Halal Certified"
The Social Alley,269 Holland Avenue Holland Village Singapore,"1.3117067, 103.7953187","Bar, Fusion"
The Social Kitchen @ Jurong Bird Park,2 Jurong Hill Jurong Bird Park Singapore (628925),"1.3187065, 103.7064417","Chinese, Fusion, International, All-Day Breakfast, Vegetarian Friendly, Local, Cafe, Burgers, Vegetarian"
The Social Kitchen @ YMCA,1 Orchard Road Level 4YMCA Singapore (238824),"1.2975672, 103.8480065","Chinese, All-Day Breakfast, Vegetarian Friendly, Local, Southeast Asian, Cafe, Burgers, Zi Char"
Socieaty,1 Farrer Park Station Road#01-0A One Farrer Hotel & Spa Singapore (217562),"1.3125457, 103.8543732","Bar, Chinese, Japanese, Vietnamese, International, Local, Southeast Asian, Pizza, Modern Asian"
Sofi Cafe + Pizza by Pasta Brava,10 Craig Road Singapore (089670),"1.2776667, 103.842752","All-Day Breakfast, Cafe, Pizza"
Sofra Turkish Cafe & Restaurant,100 Beach Road#02-42/44Shaw Tower Singapore (189702),"1.2965124, 103.8568162","Middle Eastern, Vegetarian Friendly, Halal Certified"
Soi 44,44 Prinsep Street Singapore (188673),"1.299568, 103.849627",Thai
Solo Ristorante,45 Amoy Street Singapore (069871),"1.2804262, 103.8468933",Italian
The Song Of India,33 Scotts Road Singapore (228226),"1.3109885, 103.8351893","Bar, Buffet, Indian, Vegetarian Friendly"
Southbridge,80 Boat Quay Level 5 Rooftop Singapore (049868),"1.288397, 103.849","Bar, Italian"
Spice Brasserie,181 Kitchener Road Singapore (208533),"1.3106349, 103.8557348","Buffet, Chinese, Japanese, Indian, Local, Southeast Asian, BBQ"
Spices Cafe,100 Orchard Road Concorde Hotel Singapore Singapore (238840),"1.3007654, 103.841536","Buffet, International, Seafood, Local, Peranakan"
Spicy House,30 Merchant Road#01-07Riverside Point Singapore (058282),"1.2894761, 103.8441414",Chinese
Spicy Rock,13 Stamford#B2-51Capitol Piazza Singapore (178905),"1.2929876, 103.8511619","Japanese, Fusion"
Spicy Thai-Thai Cafe,218 Bedok North Street 1#01-01Singapore (460218),"1.327156, 103.934799",Thai
Spizza (Bukit Timah),"271 Bukit Timah Road,#01-09, Balmoral Plaza,Singapore (259708)","1.3165038, 103.8353812","Italian, Pizza"
Spizza (Jalan Kayu),"269 Jalan Kayu,Singapore (799497)","1.3970913, 103.8729424","Italian, Pizza"
The Spot,5 Straits View#01-26/27Marina One The Heart Singapore (018935),"1.2780388, 103.8531501","Bar, Modern European, Modern Asian"
Spring Court,52-56 Upper Cross Street Singapore (058348),"1.2843538, 103.844525","Chinese, Local, Dim Sum"
SPRMRKT At Cluny Court,501 Bukit Timah Road#02-13Cluny Court Singapore (259760),"1.3226734, 103.8142876","Vegetarian Friendly, Southeast Asian, Cafe"
SPRMRKT At Dempsey Hill,8 Dempsey Road Singapore (247696),"1.3042251, 103.8095057","Modern European, Vegetarian Friendly, Cafe"
Spruce (Hillview 2),4 Hillview Rise#01-01Hillview 2Singapore (667979),"1.363354, 103.7643204","American, Bar, All-Day Breakfast, Vegetarian Friendly, Pizza, Burgers"
"Spruce (Tanglin, Phoenix Park)",320 Tanglin Road Phoenix Park Singapore (247980),"1.2985058, 103.8165332","American, Bar, All-Day Breakfast, Vegetarian Friendly, Pizza, Burgers"
The Square @ Furama,405 Havelock Road Level 2Furama River Front Singapore Singapore (169633),"1.28774, 103.8359909","Buffet, International, All-Day Breakfast, Vegetarian Friendly, Local"
Squisito,28 Bali Lane Singapore (189864),"1.3010615, 103.8584929","Italian, Halal Certified"
Ssak3 Korean BBQ,231 Bain Street#02-01Singapore (180231),"1.2968471, 103.8535281","Korean, BBQ"
Ssikkek Korean Grill BBQ (Tanjong Pagar),44 Tanjong Pagar Singapore (088465),"1.2793185, 103.8437729","Buffet, Korean, BBQ"
STAGE,60 Prinsep Street Singapore (188664),"1.2996497, 103.8499654","Bar, Modern European, Pizza"
Stags' Room,32 Beach Road Singapore (189764),"1.2943478, 103.855289",Bar
The Stamford Brasserie,2 Stamford Road Level 1Swissotel the Stamford Singapore (178882),"1.2932771, 103.8535076","French, Vegetarian Friendly, Burgers"
Steakgrill,408 Ang Mo Kio Ave 10#01-783Singapore (560408),"1.3624187, 103.8548679",Steakhouse
Stellar at 1-Altitude,1 Raffles Place Level 62Singapore (048616),"1.2844024, 103.8509818","Modern European, Australian"
Straits Cafe,9 Bras Basah Road Lobby Level Rendezvous Hotel Singapore (189559),"1.2985227, 103.8491411","Buffet, Indian, Local, Halal Certified, Mediterranean"
Straits Chinese Nonya Restaurant (Esplanade Mall),8 Raffles Ave#02-21Singapore (039802),"1.2896585, 103.8557631","Buffet, Chinese, Vegetarian Friendly, Local, Southeast Asian, Peranakan, Zi Char"
Straits Chinese Nonya Restaurant (Keck Seng Tower),133 Cecil Street#B1-01Keck Seng Tower Singapore,"1.2804083, 103.8489353","Local, Southeast Asian, Peranakan"
StraitsKitchen,10 Scotts Road Grand Hyatt Singapore Lobby Level Singapore (228211),"1.3065838, 103.8331003","Buffet, Chinese, Indian, Malaysian, Vegetarian Friendly, Local, Southeast Asian, Halal Certified"
Streats (Bukit Panjang Plaza),1 Jelebu Road#02-17Bukit Panjang Plaza Singapore (677743),"1.3800396, 103.7642339","Chinese, Dim Sum, Halal Certified"
Streats (City Square Mall),180 Kitchener Road#01-01City Square Mall Singapore (208539),"1.3111877, 103.8566675","Chinese, Dim Sum, Halal Certified"
Streats (IMM),2 Jurong East Street 21#02-17/17AIMM Singapore (609601),"1.3348154, 103.7468395","Chinese, Dim Sum, Halal Certified"
Streats (Resorts World Sentosa),26 Sentosa Gateway#01-205Resorts World Sentosa Singapore (098138),"1.255179, 103.8218107","Chinese, Dim Sum, Halal Certified"
Streats (Tampines 1),10 Tampines Central 1#B1-05Tampines 1Singapore (529536),"1.354212, 103.9450352","Chinese, Dim Sum, Halal Certified"
Streats (West Mall),1 Bukit Batok Central Link#01-28/29/30West Mall Singapore (658713),"1.3500142, 103.7491801","Chinese, Dim Sum, Halal Certified"
Stuttgart Blackforest Boutique S-Cafe,35A Scotts Road Singapore (228228),"1.3110102, 103.8356933","Local, German"
Suki-Suki Thai Hot Pot (Khatib),2 Yishun Walk#01-01Home Team NS Clubhouse Singapore Singapore (767944),"1.4145727, 103.8306592","Buffet, Thai"
Suki-Suki Thai Hot Pot (Safra Toa Payoh),293 Lor 6 Toa Payoh#01-04SAFRA Toa Payoh Singapore (319387),"1.3302932, 103.8546699","Buffet, Thai, Steamboat"
Suki-Ya (Bugis+),201 Victoria Street#04-14/15Bugis+Singapore (188067),"1.2995955, 103.8542191","Buffet, Japanese"
Suki-Ya (Bukit Panjang Plaza),1 Jelebu Road#02-16Bukit Panjang Plaza Singapore (677743),"1.3800396, 103.7642339","Buffet, Japanese"
Suki-Ya (Heartland Mall),Blk 205 Hougang Street 21#02-08/09Heartland Mall Singapore (530205),"1.359469, 103.8851289","Japanese, Steamboat"
Suki-Ya (Kallang Wave Mall),1 Stadium Place#01-35Kallang Wave Mall Singapore (397628),"1.3032243, 103.8728714","Japanese, Steamboat"
Suki-Ya (Marina Square),6 Raffles Boulevard#02-183B/C Marina Square Singapore (039594),"1.2918582, 103.8561116","Japanese, Steamboat"
Suki-Ya (Plaza Singapura),68 Orchard Road#04-63/67Plaza Singapura Singapore (238839),"1.3039961, 103.8318245","Buffet, Japanese, Steamboat"
Suki-Ya KIN,1 Harbourfront Walk#01-102/103Vivo City Singapore (098585),"1.2647884, 103.822894",Japanese
Sumire Yakitori House,80 Middle Road#01-88/89Singapore (188966),"1.2987309, 103.8546283","Bar, Japanese, Fusion, Modern Asian"
Summer Hill,Block 106 Clementi Street 12#01-62Singapore (120106),"1.3225224, 103.7699016","French, Cafe"
Summer Palace,1 Cuscaden Road Level 3Regent Singapore Singapore (249715),"1.3046549, 103.8249313","Chinese, Dim Sum"
"Summer Pavilion (The Ritz-Carlton, Millenia Singapore)",Level 37 Raffles Avenue Singapore (039799),"1.2894584, 103.862269","Chinese, Seafood, Vegetarian Friendly, Dim Sum"
The Summerhouse,3 Park Lane Singapore (798387),"1.4080072, 103.8681859","Modern European, Vegetarian Friendly"
Summerlong,60 Robertson Quay#01-04The Quayside Singapore (238252),"1.2902048, 103.8394975","Greek, Mediterranean"
Sunday Folks,"44 Jalan Merah Saga#01-52, Chip Bee Gardens Singapore (278116)","1.311762, 103.7968216","Local, Cafe, Dessert Only"
Super Loco Customs House,70 Collyer Quay#01-04Customs House Singapore (049323),"1.2824913, 103.8534753",Mexican
Super Loco Robertson Quay,60 Robertson Quay#01-13The Quayside Singapore,"1.2899607, 103.8393066",Mexican
Supply & Demand (Esplanade),8 Raffles Avenue #01-13Esplanade Mall Singapore (039802),"1.2892676, 103.8566924","Italian, Southeast Asian"
Supply & Demand (Orchard Gateway),277 Orchard Road #02-13/14Orchard Gateway Singapore (238858),"1.300579, 103.83963","Italian, Southeast Asian"
Sushi Ayumu,"333A Orchard Road#04-16, Mandarin Gallery Singapore (238897)","1.302037, 103.8362722",Japanese
Sushi Jin,1 Farrer Park Station Road#01-11/12Owen Link Singapore (217562),"1.3123476, 103.8542433",Japanese
Sushi Jiro (Keppel Bay),2 Keppel Bay Vista#02-01Marina at Keppel Bay Singapore (098382),"1.2640448, 103.8125054",Japanese
Sushi Jiro (PARKROYAL COLLECTION Marina Bay),6 Raffles Boulevard#04-600Marina Mandarin Hotel Singapore (039594),"1.2917922, 103.8571184",Japanese
Sushi Kou,11 Cavenagh Road#01-13/14Holiday Inn Singapore Orchard City Centre Singapore (229616),"1.3023125, 103.8410344",Japanese
Sushi Mieda,60 Collyer Quay Level 10OUE Tower Singapore (049322),"1.283527, 103.853136",Japanese
Swee Choon Tim Sum Restaurant,183-191 Jalan Besar Singapore (208882),"1.3080257, 103.8568449","Chinese, Dim Sum"
Switch by Timbre X,73 Bras Basah Road#01-01/02Singapore (189556),"1.2967568, 103.85143","Bar, Pizza"
Symmetry,9 Jalan Kubor#01-01Singapore (199206),"1.3038411, 103.859208","Bar, All-Day Breakfast, Cafe"
Syun,26 Sentosa Gateway#02-135/135A Resorts World Sentosa Singapore (098138),"1.2548714, 103.821414",Japanese
Szechuan Court,80 Bras Basah Road Level 3Fairmont Singapore Singapore (189560),"1.293396, 103.8534619","Chinese, Fusion, Seafood, Vegetarian Friendly, Local, Dim Sum"
Szechuan Kitchen,80 Bras Basah Road Level 3Fairmont Singapore Singapore (189560),"1.293396, 103.8534619","Chinese, Fusion, Seafood, Vegetarian Friendly, Local, Dim Sum"
藝yì by Jereme Leung,328 North Bridge Road#03-02Raffles Hotel Singapore Singapore (188719),"1.2953027, 103.8541368","Chinese, Dim Sum"
Tabbouleh @ Bussorah Street,54 Bussorah Street Singapore (199470),"1.3016171, 103.8594434",Middle Eastern
Table At 7,41 Namly Ave#03-00SIM Management House Singapore (267616),"1.3258749, 103.8000773","Modern European, Indonesian, Local"
table65,26 Sentosa Gateway#01-104/105Resorts World Sentosa Singapore (098138),"1.255179, 103.8218107",Modern European
Tablescape Restaurant & Bar,10 Coleman Street Level 3Grand Park City Hall Singapore (179809),"1.2923835, 103.8501646",Modern European
Taikoo Lane Hotpot 太古里火锅,133 New Bridge Road B1-16Chinatown Point Singapore (059413),"1.2852093, 103.8447228","Chinese, Seafood"
Tajimaya Yakiniku,1 Harbourfront Walk#01-102/103Vivo City Singapore (098585),"1.2647884, 103.822894","Buffet, Japanese, BBQ"
Takada Grill & Bar,5 Wallich Street#01-12Singapore (078883),"1.2765378, 103.8462206","Bar, Fusion, Steakhouse"
Takayama Japanese Restaurant,6A Shenton Way#01-09/10Downtown Gallery Singapore (068815),"1.2766707, 103.8483399",Japanese
Talay Thai,3E River Valley Road#01-05Singapore (179024),"1.295877, 103.8397203","Bar, Thai, Fusion"
Taliwang Restaurant,26 Kandahar Street Singapore (198888),"1.3021912, 103.8597198","Indonesian, Italian, Cafe, Burgers, BBQ"
Tamashii,12 North Canal Road#02-01Singapore (048825),"1.2861806, 103.8487276",Japanese
Tambuah Mas Indonesian Restaurant (Great World),1 Kim Seng Promenade#B1-110Great World City Singapore (237994),"1.2936417, 103.8319293",Indonesian
Tambuah Mas Indonesian Restaurant (Tanglin),19 Tanglin Road#04-10/13Tanglin Shopping Centre Singapore (247909),"1.3063651, 103.8266182","Indonesian, Halal Certified"
Tandoor,"11 Cavenagh Road,Holiday Inn Singapore Orchard City Centre,Basement 1,Singapore (229616)","1.3023125, 103.8410344","Buffet, Indian, Seafood, Modern Asian"
Tandoori Culture (Boon Tat),5 Boon Tat Street#01-01Singapore (069613),"1.2816581, 103.8477688","Indian, Vegetarian Friendly"
Tandoori Culture (HillV2),4 Hill View Rise#02-03Hill V2Singapore (667979),"1.363354, 103.7643204","Indian, Vegetarian Friendly"
Tang Lung Restaurant,80 Mohamed Sultan Road#01-12The Pier at Robertson Singapore (239013),"1.2918135, 103.8406509","Chinese, Dim Sum"
Tangerine,18 Sentosa Gateway#01-563/564Resorts World Sentosa Singapore (098134),"1.255179, 103.8218107",Thai
TANI - Modern Indian Restaurant,20 Ah Hood Road#01-19Zhongshan Mall Singapore (329982),"1.3270456, 103.8465073","Bar, Indian, Vegetarian Friendly"
Tanjong Beach Club - Indoor & Alfresco,120 Tanjong Beach Walk Sentosa Singapore (098942),"1.243406, 103.827697","Bar, Seafood"
TANOSHII,56 Cairnhill Road Singapore (229667),"1.3061726, 103.83785","Japanese, Korean, Fusion"
TAP (One Raffles Link),1 Raffles Link#01-02Singapore (039393),"1.292053, 103.8558562","American, Bar"
TAP (Raffles City),252 North Bridge Road#01-15Raffles City Shopping Centre Singapore (189768),"1.2937585, 103.8534331","American, Bar"
TAP (Robertson Quay),86 Robertson Quay#01-02Singapore (238245),"1.2900394, 103.8373405","American, Bar"
Tapas Club (Jewel Changi),78 Airport Boulevard#03-220/221/222Jewel Changi Airport Singapore (819666),"1.3602082, 103.9897593","Bar, Spanish, Seafood, Vegetarian Friendly"
Tapas Club (Orchard),181 Orchard Road#02-13Orchard Central Singapore (238896),"1.3006691, 103.8404794","Bar, Spanish, Seafood, Vegetarian Friendly"
Tapas Club (VivoCity),1 Harbourfront Walk#01-98/99Vivo City Singapore (098585),"1.2632409, 103.8229547","Bar, Spanish, Seafood, Vegetarian Friendly"
Tapasta Bar,39 Pekin Street#01-01Singapore (048769),"1.2835904, 103.8484264","Modern European, Fusion, Burgers"
Tarte by Cheryl Koh,1 Scotts Road#02-12Shaw Centre Singapore (228208),"1.3063434, 103.8318606",Cafe
Tasty Loong by Chef Pung (Link Hotel),50 Tiong Bahru Road#01-04Singapore (168733),"1.2848792, 103.8342762","Chinese, Vegetarian Friendly, Southeast Asian, Modern Asian, Vegetarian"
Tasty Loong by Chef Pung (ORTO),81 Lorong Chencharu Singapore (769198),"1.4131494, 103.82938","Chinese, Vegetarian Friendly, Southeast Asian, Modern Asian"
The Tavern Restaurant,227 River Valley Road Singapore (238285),"1.2937601, 103.8422092",Modern European
Tea Lounge,1 Cuscaden Road Lobby Level Regent Singapore Singapore (249715),"1.3047203, 103.8248939","International, British"
Tea Room (Amara Singapore),165 Tanjong Pagar Road Amara Singapore Singapore (088539),"1.2747537, 103.8435337",Combined Menu Quintessential High Tea Experience Menu (28 Dec onwards) CNY Afternoon Tea Set Menu (1-28 Feb) Valentine's Day Afternoon Tea Set Menu (14 Feb)
Tekong Seafood Restaurant,6 Changi Village Road Singapore (509907),"1.389956, 103.988702","Chinese, Seafood, Zi Char"
Telok Ayer Arts Club,2 Mc Callum St Singapore (069043),"1.2797222, 103.8473865","Bar, Fusion, Vegetarian Friendly, Local, Southeast Asian, Modern Asian"
Temasek Culinary Academy The Top Table,Block 31 Tampines Avenue 1Level 3Temasek Culinary Academy Temasek Polytechnic Singapore (529757),"1.3451847, 103.9318122",Modern European
Tempura Oji,51 Kreta Ayer Road Singapore (089008),"1.281159, 103.8419276","Bar, Japanese"
TEN Sushi,60 Robertson Quay＃01-09The Quayside Singapore (238252),"1.2900297, 103.8391632","Bar, Japanese"
Tenkaichi Japanese BBQ Restaurant (Cineleisure),8 Grange Road#02-11Cineleisure Orchard Singapore (239695),"1.3015948, 103.836414","Buffet, Japanese, Steamboat, Modern Asian, BBQ"
Tenkaichi Japanese BBQ Restaurant (Marina Square),6 Raffles Boulevard#03-129Marina Square Shopping Mall Singapore (039594),"1.2905299, 103.8573481","Buffet, Japanese, BBQ"
Teochew Restaurant Huat Kee,30 Orange Grove Road#02-01RELC Building Singapore (258352),"1.3130374, 103.8260855","Chinese, Vegetarian Friendly, Local"
Teppan Bar Q,11 Unity Street#01-21/22Robertson Walk Singapore (237995),"1.2922138, 103.8410888","Bar, Japanese, Fusion, Vegetarian Friendly"
TEPPAN by Chef Yonemura,26 Sentosa Gateway#01-229Resorts World Sentosa Singapore (098138),"1.255179, 103.8218107","Japanese, French"
Teppan Chef's Table,5 Fraser Street Level 25Andaz Singapore Singapore (189354),"1.2992107, 103.8577253",Japanese
Teppan Kappou Kenji,99 Tanjong Pagar Road#01-01Singapore (088520),"1.2773716, 103.8437288",Japanese
Teppan Works,42 Tras Street Singapore (078981),"1.2782924, 103.8442963",Japanese
Tess Bar & Kitchen,38 Seah Street Singapore (188394),"1.2959092, 103.8549995","Bar, Modern European, French"
TGM (Changi Airport T2 Transit),Airport Boulevard Departure Transit Lounge Level 3Changi Airport Terminal 2Singapore (819643),"1.3552684, 103.9894606","Japanese, Korean, Local"
Thai Accent,1 Harbourfront Walk#02-145/146Vivo City Singapore (098585),"1.2633025, 103.8216835","Thai, Vegetarian Friendly"
Thai Tanic Hotpot,43 Sultan Gate Level 2Singapore (198491),"1.3016271, 103.8606359","Buffet, Thai, Seafood, Local, Steamboat"
Thai Wok Restaurant,37 Cuppage Road Singapore (229460),"1.302202, 103.840439","Thai, Seafood, Vegetarian Friendly"
Thai'd Me Up,271 Bukit Timah Road#01-04Balmoral Plaza Singapore (259708),"1.3165038, 103.8353812",Thai
Thanying Restaurant,165 Tanjong Pagar Road Level 2Amara Singapore Singapore (088539),"1.2750316, 103.8435506","Thai, Vegetarian Friendly"
The Auld Alliance,9 Bras Basah Road#02-02A Rendezvous Hotel Gallery Singapore (189559),"1.298614, 103.849054",Bar
The Bar at 15 Stamford,15 Stamford Road Lobby Level The Capitol Kempinski Hotel Singapore Singapore (178906),"1.293891, 103.8513613",Bar
The Blue Ginger (Great World),1 Kim Seng Promenade#01-106Great World Singapore (237994),"1.2926499, 103.8322968","Chinese, Local, Peranakan"
The Blue Ginger (Tanjong Pagar),97 Tanjong Pagar Road Singapore (088518),"1.2774181, 103.8437847","Chinese, Local, Peranakan"
The Chupitos Bar,3B Clarke Quay#01-05Singapore (179021),"1.290573, 103.844961",Bar
